Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
acc-chain-ch-2x40,CHROME CHAIN 2x40mm (Metre),Title,Default Title,,,,,+ACC CHAIN CH 2x40,,,,,,,,,,15
acc-chain-ch-3x40,CHROME CHAIN 3x40mm (Metre),Title,Default Title,,,,,+ACC CHAIN CH 3x40,,,,,,,,,,4
acc-chain-ch-3x48,CHROME CHAIN 3x48mm (Metre) - NW,Title,Default Title,,,,,+ACC CHAIN CH 3x48,,,,,,,,,,0
acc-chain-ch-4x40,CHROME CHAIN 4x40mm (Metre),Title,Default Title,,,,,+ACC CHAIN CH 4x40,,,,,,,,,,25
acc-chain-ch-4x50,CHROME CHAIN 4x50mm (Metre) - NW,Title,Default Title,,,,,+ACC CHAIN CH 4x50,,,,,,,,,,0
acc-chain-ch-5x45,CHROME CHAIN 5x45mm (Metre) - A7,Title,Default Title,,,,,+ACC CHAIN CH 5x45,,,,,,,,,,0
acc-chain-ch-5x52,CHROME CHAIN 5x52MM (Metre) - A7,Title,Default Title,,,,,+ACC CHAIN CH 5x52,,,,,,,,,,0
acc-chain-ch-6x45,CHROME CHAIN 6x45mm (Metre),Title,Default Title,,,,,+ACC CHAIN CH 6x45,,,,,,,,,,28
acc-chain-ch-6x48,CHROME CHAIN 6x48mm (Metre) - A7,Title,Default Title,,,,,+ACC CHAIN CH 6x48,,,,,,,,,,0
acc-chain-ch-7x50,CHROME CHAIN 7x50mm (Metre),Title,Default Title,,,,,+ACC CHAIN CH 7x50,,,,,,,,,,25
acc-chain-chr,CHROME CHAIN (METRE) - A7,Title,Default Title,,,,,+ACC CHAIN CHR,,,,,,,,,,0
acc-chain-et-a6,ET CHAIN - 6 (PER METRE),Title,Default Title,,,,,+ACC CHAIN ET - A6,,,,,,,,,,0
acc-chain-gd-3x40,GOLD PLEATED CHAIN 3x40mm (Metre),Title,Default Title,,,,,+ACC CHAIN GD 3x40,,,,,,,,,,4
acc-chain-gd-4x45,GOLD PLATED CHAIN 4X45MM (METRE),Title,Default Title,,,,,+ACC CHAIN GD 4x45,,,,,,,,,,99
acc-chain-gd-4x50,GOLD PLATED CHAIN 4x50mm (Metre) - NW,Title,Default Title,,,,,+ACC CHAIN GD 4x50,,,,,,,,,,0
acc-chain-gd-5x50,GOLD PLATED CHAIN 5x50mm (Metre),Title,Default Title,,,,,+ACC CHAIN GD 5x50,,,,,,,,,,50
acc-chain-gd-6x40,GOLD PLATED CHAIN 6x40mm (Metre),Title,Default Title,,,,,+ACC CHAIN GD 6x40,,,,,,,,,,1
acc-chain-gold,GOLD PLATED CHAIN (FEET) -ALC,Title,Default Title,,,,,+ACC CHAIN GOLD,,,,,,,,,,0
acc-clip-13mm,13MM PLASTIC MOUNTING CLIP FOR ROPELIGHT,Title,Default Title,,,,,+ACC CLIP 13MM,,,,,,,,,,4
acc-clip-t5-u,T5 U-CLIP FOR CIRCULAR TUBES,Title,Default Title,,,,,+ACC CLIP T5 (U),,,,,,,,,,196
acc-dmx-512-deco-der,A109 ACC DMX 512 Decoder,Title,Default Title,,,,,+ACC DMX 512 DECO DER,,,,,,,,,,0
