Handle,Title,Description,Vendor,Status,Published on online store,SKU,Option1 Name,Option1 Value,Option2 Value,Option3 Value,Price,Cost per item,Inventory tracker,Inventory quantity,Continue selling when out of stock,Requires shipping,Fulfillment service,Tags,RLF inventory (product.metafields.custom.rlf_inventory),IMM inventory (product.metafields.custom.imm_inventory),Wholesale price (product.metafields.custom.wholesale_price),Legacy WHSE (product.metafields.custom.legacy_whse)
l-t5-13w-41,T5 13W/41 WARMWHITE -OSRAM,,EXPORT,active,true,+L T5 13W/41,Default Title,Default Title,,,10,5.6,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-13w-827-saf,T5 13W/827 WARMWHITE -SAFER,,NME,active,true,+L T5 13W/827-SAF,Default Title,Default Title,,,5,0,shopify,0,deny,true,manual,legacy-import,1,0,0,0
l-t5-13w-840-saf,T5 13W/840 COOLWHITE -SAFER,,NME,draft,false,+L T5 13W/840-SAF,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-zero-retail",1,0,0,0
l-t5-14w-blue,T5 14W BLUE-SAFER,,NME,active,true,+L T5 14W BLUE,Default Title,Default Title,,,9,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-14w-c-w,T5 14W/840 COOLWHITE - GE,,WAH SENG,draft,false,+L T5 14W C/W,Default Title,Default Title,,,0,2,shopify,0,deny,true,manual,"legacy-import, legacy-zero-retail",0,0,0,0
l-t5-14w-d-l,T5 14W D/L,,,active,true,+L T5 14W D/L,Default Title,Default Title,,,6,1.2,shopify,16,deny,true,manual,legacy-import,19,0,0,16
l-t5-14w-red,T5 14W RED,,WAH SENG,draft,false,+L T5 14W RED,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t5-14w-w-w,T5 14W W/W,,,draft,false,+L T5 14W W/W,Default Title,Default Title,,,6,1.2,shopify,0,deny,true,manual,"legacy-import, legacy-negative-whse",9,0,0,-5
l-t5-14w-830-phili-ps,T5 14W/830 WARMWHITE -PHILIPS,,,draft,false,+L T5 14W/830 PHILI PS,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t5-14w-840-phili-ps,T5 14W/840 COOLWHITE -PHILIPS,,KEH,draft,false,+L T5 14W/840 PHILI PS,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-zero-retail, legacy-negative-whse",11,0,0,-5
l-t5-14w-840-vos,VOS-SWB T5 14W/840 COOLWHITE (T5 HF 14-4000),,ES TEAM,draft,false,+L T5 14W/840 VOS,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t5-14w-865-phili-ps,T5 14W/865 DAYLIGHT -PHILIPS,,CHANGI,draft,false,+L T5 14W/865 PHILI PS,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-zero-retail, legacy-negative-whse",3,0,0,-1
l-t5-21-827,T5 21W/827 WARMWHITE -PHILIP,,KEH,active,true,+L T5 21/827,Default Title,Default Title,,,11,5.5,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-21-84,T5 21W/84 COOLWHITE -PHILIP,,EXPORT,active,true,+L T5 21/84,Default Title,Default Title,,,11,6.5,shopify,0,deny,true,manual,legacy-import,1,0,0,0
l-t5-21w-blue,T5 21W BLUE- SAFER,,NME,active,true,+L T5 21W BLUE,Default Title,Default Title,,,12,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-21w-c-w,T5 21W COOLWHITE,,,draft,false,+L T5 21W C/W,Default Title,Default Title,,,0,0,shopify,278,deny,true,manual,"legacy-import, legacy-zero-retail",18,0,0,278
l-t5-21w-d-l,T5 21W DAYLIGHT,,,active,true,+L T5 21W D/L,Default Title,Default Title,,,6,1.5,shopify,72,deny,true,manual,legacy-import,5,0,2.3,72
l-t5-21w-w-w,T5 21W WARMWHITE,,,active,true,+L T5 21W W/W,Default Title,Default Title,,,6,1.5,shopify,380,deny,true,manual,legacy-import,-4,0,2.3,380
l-t5-21w-827-safer,T5 21W/827 WARMWHITE-SAFER,,NME,active,true,+L T5 21W/827 SAFER,Default Title,Default Title,,,6,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-21w-830-phili-ps,T5 21W/830 WARMWHITE -PHILIPS,,EXPORT,active,true,+L T5 21W/830 PHILI PS,Default Title,Default Title,,,6,0,shopify,15,deny,true,manual,legacy-import,6,0,0,15
l-t5-21w-840-safer,T5 21W/840 COOLWHITE -SAFER,,NME,active,true,+L T5 21W/840 SAFER,Default Title,Default Title,,,6,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-21w-870-safer,T5 21W/870 DAYLIGHT-SAFER,,NME,active,true,+L T5 21W/870 SAFER,Default Title,Default Title,,,6,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-28w-blue,T5 28W BLUE-SAFER,,NME,active,true,+L T5 28W BLUE,Default Title,Default Title,,,15,0,shopify,15,deny,true,manual,legacy-import,0,0,0,15
l-t5-28w-blue-bmc,T5 28W BLUE - BMC,,,active,true,+L T5 28W BLUE BMC,Default Title,Default Title,,,15,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-28w-d-l,T5 28W D/L,,,draft,false,+L T5 28W D/L,Default Title,Default Title,,,8,1.8,shopify,0,deny,true,manual,"legacy-import, legacy-negative-whse",-2,0,2.7,-1
l-t5-28w-green,T5 28W GREEN,,,draft,false,+L T5 28W GREEN,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t5-28w-red,T5 28W RED,,WAH SENG,draft,false,+L T5 28W RED,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t5-28w-w-w,T5 28W W/W,,,active,true,+L T5 28W W/W,Default Title,Default Title,,,8,1.8,shopify,301,deny,true,manual,legacy-import,3,0,2.7,301
l-t5-28w-830-phili-ps,T5 28W/830 WARMWHITE -PHILIPS,,EXPORT,active,true,+L T5 28W/830 PHILI PS,Default Title,Default Title,,,6,2,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-28w-840-ge,T5 28W/840 COOLWHITE - GE,,ACETRONIC,draft,false,+L T5 28W/840 GE,Default Title,Default Title,,,0,2,shopify,68,deny,true,manual,"legacy-import, legacy-zero-retail",8,0,0,68
l-t5-28w-840-phili-ps,T5 28W/840 COOLWHITE -PHILIPS,,EXPORT,active,true,+L T5 28W/840 PHILI PS,Default Title,Default Title,,,6,2,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-28w-840-safer,T5 28W/840 COOLWHITE -BEAVER,,NME,active,true,+L T5 28W/840 SAFER,Default Title,Default Title,,,8,0,shopify,0,deny,true,manual,legacy-import,2,0,0,0
l-t5-28w-840-vos,VOS-SWB T5 28W/840 COOLWHITE (T5 HF 28-4000),,ES TEAM,draft,false,+L T5 28W/840 VOS,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t5-28w-865-phili-ps,T5 28W/865 DAYLIGHT - PHILIPS,,KEH,active,true,+L T5 28W/865 PHILI PS,Default Title,Default Title,,,5,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-28w-870-safer,T5 28W/870 DAYLIGHT-SAFER,,NME,active,true,+L T5 28W/870 SAFER,Default Title,Default Title,,,8,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-35w-840-osram,T5 35W/840 COOLWHITE -OSRAM,,EXPORT,active,true,+L T5 35W/840 OSRAM,Default Title,Default Title,,,12,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-39w-830,T5 39W/830 (G5) WARMWHITE - OSRAM,,EXPORT,draft,false,+L T5 39W/830,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t5-39w-840,T5 39W/840 COOL WHITE -PHILIP,,EXPORT,draft,false,+L T5 39W/840,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-zero-retail",1,0,0,0
l-t5-39w-840-osram,T5 39W/840 G5 COOLWHITE -OSRAM,,,active,true,+L T5 39W/840 OSRAM,Default Title,Default Title,,,13,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-49w-830,T5 49W/830 Warmwhite 3000K H/O- Osram,,EXPORT,draft,false,+L T5 49W/830,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t5-54w-830-osram,T5 HO 54W/830 WARMWHITE OSRAM,,EXPORT,draft,false,+L T5 54W/830 OSRAM,Default Title,Default Title,,,0,8,shopify,0,deny,true,manual,"legacy-import, legacy-zero-retail",0,0,0,0
l-t5-54w-840-phili-ps,+L T5 54W/840 COOLWHITE PHILIPS,,,draft,false,+L T5 54W/840 PHILI PS,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t5-54w-865-osram,T5 HO 54W/865 DAYLIGHT OSRAM,,,draft,false,+L T5 54W/865 OSRAM,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-zero-retail",0,0,18,0
l-t5-6w-dl,T5 6W DAYLIGHT,,,active,true,+L T5 6W DL,Default Title,Default Title,,,5,0.66,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-6w-w-w-hitac-hi,T5 6W W/W - HITACHI,,EXPORT,active,true,+L T5 6W W/W HITAC HI,Default Title,Default Title,,,6,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-8w-d-l,T5 8W D/L,,,active,true,+L T5 8W D/L,Default Title,Default Title,,,4,0.84,shopify,0,deny,true,manual,legacy-import,2,0,1.2,0
l-t5-8w-w-w,T5 8W W/W,,,active,true,+L T5 8W W/W,Default Title,Default Title,,,4,0.84,shopify,204,deny,true,manual,legacy-import,10,0,1.2,204
l-t5-8w-21-osram,T5 8W/21 COOLWHITE - OSRAM,,EXPORT,draft,false,+L T5 8W/21 OSRAM,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t5-8w-41,T5 8W/41 WARMWHITE- OSRAM,,EXPORT,active,true,+L T5 8W/41,Default Title,Default Title,,,9,5.5,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-8w-827-saf,T5 8W/827 WARMWHITE -SAFER,,NME,active,true,+L T5 8W/827-SAF,Default Title,Default Title,,,4,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-8w-84,T5 8W/840 COOLWHITE-PHILIPS,,KEH,active,true,+L T5 8W/84,Default Title,Default Title,,,9,5.5,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-8w-bl,T5 8W BLUE - SAFER,,NME,active,true,+L T5 8W/BL,Default Title,Default Title,,,6,2.8,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-8w-cw,T5 8W COOLWHITE - SYLVANIA,,,active,true,+L T5 8W/CW,Default Title,Default Title,,,5,2,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-8w-cw-hi,T5 8W COOLWHITE - HITACHI,,,active,true,+L T5 8W/CW -HI,Default Title,Default Title,,,5,2,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-8w-dl-hit,T5 8W D/L - HITACHI,,,active,true,+L T5 8W/DL HIT,Default Title,Default Title,,,5,1.3,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-8w-red,T5 8W RED - SAFER,,NME,active,true,+L T5 8W/RED,Default Title,Default Title,,,6,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-cir22w-cw-o-es,T5 CIRCULAR 22W COOLWHITE - OES,,,active,true,+L T5 CIR22W CW-O ES,Default Title,Default Title,,,9,1.95,shopify,49,deny,true,manual,legacy-import,12,0,0,49
l-t5-cir22w-dl-oes,T5 CIRCULAR 22W DAYLIGHT -HRK,,,active,true,+L T5 CIR22W DL-OES,Default Title,Default Title,,,9,1.95,shopify,5,deny,true,manual,legacy-import,6,0,0,5
l-t5-cir22w-ww-o-es,T5 CIRCULAR 22W WARMWHITE - HRK,,,active,true,+L T5 CIR22W WW-O ES,Default Title,Default Title,,,9,1.95,shopify,10,deny,true,manual,legacy-import,18,0,0,10
l-t5-cir32w-cw-o-es,T5 CIRCULAR 32W COOLWHITE - OES,,,active,true,+L T5 CIR32W CW-O ES,Default Title,Default Title,,,10,0,shopify,12,deny,true,manual,legacy-import,5,0,0,12
l-t5-cir32w-dl-oes,T5 CIRCULAR 32W DAYLIGHT -HRK,,,active,true,+L T5 CIR32W DL-OES,Default Title,Default Title,,,10,2.1,shopify,4,deny,true,manual,legacy-import,8,0,0,4
l-t5-cir32w-ww-o-es,T5 CIRCULAR 32W WARMWHITE - HRK,,,active,true,+L T5 CIR32W WW-O ES,Default Title,Default Title,,,10,2.1,shopify,5,deny,true,manual,legacy-import,15,0,0,5
l-t5-cir40w-cw-o-es,T5 CIRCULAR 40W COOLWHITE - OES,,,active,true,+L T5 CIR40W CW-O ES,Default Title,Default Title,,,12,3.78,shopify,58,deny,true,manual,legacy-import,3,0,0,58
l-t5-cir40w-dl-oes,T5 CIRCULAR 40W DAYLIGHT -OES,,,active,true,+L T5 CIR40W DL-OES,Default Title,Default Title,,,12,3.78,shopify,25,deny,true,manual,legacy-import,0,0,0,25
l-t5-cir40w-ww-o-es,T5 CIRCULAR 40W WARMWHITE - OES,,,active,true,+L T5 CIR40W WW-O ES,Default Title,Default Title,,,12,3.78,shopify,0,deny,true,manual,legacy-import,3,0,0,0
l-t5-cir55a-cw-a73,T5 CIR 55W COOLWHITE Ø36CM - A73,,S-CH-A73,active,true,+L T5 CIR55A CW-A73,Default Title,Default Title,,,15,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-cir55a-ww-a73,T5 CIR 55W WARMWHITE Ø36CM - A73,,,active,true,+L T5 CIR55A WW-A73,Default Title,Default Title,,,15,0,shopify,0,deny,true,manual,legacy-import,1,0,0,0
l-t5-cir55w-3000k-osram,OSRAM CIRCULAR LAMP T5 FC55W/830 LUMILUX 4200LM,,EXPORT,draft,false,+L T5 CIR55W 3000K-OSRAM,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t5-cir55w-cw-o-es,T5 CIRCULAR 55W/Ø32CM COOLWHITE - OES,,,active,true,+L T5 CIR55W CW-O ES,Default Title,Default Title,,,15,3.9,shopify,25,deny,true,manual,legacy-import,6,0,0,25
l-t5-cir55w-dl-oes,T5 CIRCULAR 55W DAYLIGHT -OES,,,active,true,+L T5 CIR55W DL-OES,Default Title,Default Title,,,15,3.9,shopify,0,deny,true,manual,legacy-import,16,0,0,0
l-t5-cir55w-ww-o-es,T5 CIRCULAR 55W WARMWHITE - OES,,,draft,false,+L T5 CIR55W WW-O ES,Default Title,Default Title,,,15,3.9,shopify,0,deny,true,manual,"legacy-import, legacy-negative-whse",0,0,0,-1
l-t5-cir55w-ww-o-sram,OSRAM FC 55W/827 T5 FLUO CIRCULAR LAMP,,EXPORT,draft,false,+L T5 CIR55W WW-O SRAM,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t5-cir65w-cw-o-es,T5 CIRCULAR 65W COOLWHITE - OES,,,active,true,+L T5 CIR65W CW-O ES,Default Title,Default Title,,,16,4.8,shopify,0,deny,true,manual,legacy-import,-1,0,0,0
l-t5-f14-830,T5 F14W/830/STARCOAT/WARMWH,,GE,active,true,+L T5 F14/830,Default Title,Default Title,,,10,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-f28-830,T5 F28W/830/STARCOAT/WARMWH,,GE,active,true,+L T5 F28/830,Default Title,Default Title,,,12,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-fh14w-830,T5 FH14W/830 WARMWHITE -OSRAM,,WAH SENG,active,true,+L T5 FH14W/830,Default Title,Default Title,,,10,6.5,shopify,19,deny,true,manual,legacy-import,10,0,0,19
l-t5-fh14w-840,T5 FH14W/840 COOLWHITE -OSRAM,,EXPORT,active,true,+L T5 FH14W/840,Default Title,Default Title,,,10,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-fh21w-827,T5 FH21W/827 WARMWHITE -OSRAM,,,draft,false,+L T5 FH21W/827,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t5-fh21w-830,T5 FH21W/830 WARMWHITE -OSRAM,,WAH SENG,draft,false,+L T5 FH21W/830,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t5-fh28w-827,T5 FH28W/827 WARMWHITE -OSRAM,,,draft,false,+L T5 FH28W/827,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t5-fh28w-830,T5 FH28W/830 WARMWHITE -OSRAM,,EXPORT,active,true,+L T5 FH28W/830,Default Title,Default Title,,,12,6.5,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-fh28w-840,T5 FH28W/840 COOLWHITE -OSRAM,,EXPORT,active,true,+L T5 FH28W/840,Default Title,Default Title,,,12,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-fh28w-860,T5 FH28W/860 DAYLIGHT -OSRAM,,EXPORT,active,true,+L T5 FH28W/860,Default Title,Default Title,,,12,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-he14w-827,T5 HE14W/827 WARMWHITE -PHILIP,,EXPORT,active,true,+L T5 HE14W/827,Default Title,Default Title,,,10,5.3,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-he14w-840,T5 HE14W/840 COOLWHITE-PHILIPS,,KEH,active,true,+L T5 HE14W/840,Default Title,Default Title,,,10,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-he21w-827,T5 HE21W/827 WARMWHITE -PHILIP,,KEH,active,true,+L T5 HE21W/827,Default Title,Default Title,,,11,5.5,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-he21w-84-phil-ips,T5 HE21W/840 COOLWHITE -PHILIPS,,EXPORT,draft,false,+L T5 HE21W/84 PHIL IPS,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-zero-retail",1,0,0,0
l-t5-he21w-86,T5 HE21W/86 DAYLIGHT -PHILIPS,,,active,true,+L T5 HE21W/86,Default Title,Default Title,,,11,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-he28w-827,T5 HE28W/827 WARMWHITE -PHILIP,,EXPORT,active,true,+L T5 HE28W/827,Default Title,Default Title,,,12,5.5,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-he28w-830,T5 HE28W/830 WARMWHITE -PHILIP,,KEH,active,true,+L T5 HE28W/830,Default Title,Default Title,,,12,6,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-he28w-840,T5 HE28W/840 COOL WHITE -PHILIP,,KEH,active,true,+L T5 HE28W/840,Default Title,Default Title,,,12,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5-he28w-865,T5 HE28W/865 DAYLIGHT -PHILIP,,KEH,active,true,+L T5 HE28W/865,Default Title,Default Title,,,12,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5cir22w-d-l,CANCELLED,,NME,active,true,+L T5CIR22W D/L,Default Title,Default Title,,,7,2.75,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t5cir22w-ww,CANCELLED,,,draft,false,+L T5CIR22W WW,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t5cir32w-d-l,CANCELLED,,NME,draft,false,+L T5CIR32W D/L,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t5cir32w-w-w,CANCELLED,,NME,draft,false,+L T5CIR32W W/W,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t5cir32wd-l-oes,CANCELLED,,,draft,false,+L T5CIR32WD/L OES,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t5cir40w-d-l,CANCELLED,,NME,draft,false,+L T5CIR40W D/L,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-zero-retail",1,0,0,0
l-t5cir40w-w-w,CIR T5 40W SLIM TUBE Ø29CM WARMWHITE,,NME,draft,false,+L T5CIR40W W/W,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-zero-retail",1,0,0,0
l-t5cir40wd-l-oes,CIR T5 YH40 (SLIM TUBE) D/L -OES,,,draft,false,+L T5CIR40WD/L OES,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t5cir55w-dl,CANCELLED,,,draft,false,+L T5CIR55W DL,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t6-32w-d-l,T6 32W DAYLIGHT - OES,,,draft,false,+L T6 32W D/L,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t6-40w-d-l,T6 40W DAYLIGHT - OES,,,draft,false,+L T6 40W D/L,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t6-40w-w-w,T6 40W WARMWHITE - OES,,,active,true,+L T6 40W W/W,Default Title,Default Title,,,10,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t8-10w-c-w,T8 10W COOLWHITE - HITACHI,,EXPORT,active,true,+L T8 10W C/W,Default Title,Default Title,,,5,2,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t8-10w-d-l,T8 10W DAYLIGHT - HITACHI,,EXPORT,draft,false,+L T8 10W D/L,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t8-10w-w-w,T8 10W W/W - HITACHI,,EXPORT,draft,false,+L T8 10W W/W,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t8-10w-10,T8 10W/10 DAYLIGHT - OSRAM,,EXPORT,draft,false,+L T8 10W/10,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t8-15w-d-l,T8 15W D/L - HITACHI,,EXPORT,draft,false,+L T8 15W D/L,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-zero-retail",1,0,0,0
l-t8-15w-ex-d,T8 15W EXTRA-BRIGHT -HITACHI,,EXPORT,draft,false,+L T8 15W EX-D,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t8-15w-w-w,T8 15W W/W - HITACHI,,EXPORT,active,true,+L T8 15W W/W,Default Title,Default Title,,,6,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t8-18w-blue,T8 18W BLUE TUBE,,EXPORT,draft,false,+L T8 18W BLUE,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t8-18w-ww-sa,T8 18W W/W - SAFER,,NME,active,true,+L T8 18W WW-SA,Default Title,Default Title,,,4,0,shopify,0,deny,true,manual,legacy-import,4,0,0,0
l-t8-18w-ye,T8 18W YELLOW TUBE,,EXPORT,draft,false,+L T8 18W YE,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t8-18w-ye-sa,T8 18W YELLOW - SAFER,,NME,active,true,+L T8 18W YE-SA,Default Title,Default Title,,,10,0,shopify,0,deny,true,manual,legacy-import,1,0,0,0
l-t8-18w-10,T8 18W/765 DL 2' - OSRAM,,EXPORT,active,true,+L T8 18W/10,Default Title,Default Title,,,4,0,shopify,18,deny,true,manual,legacy-import,-1,0,0,18
l-t8-18w-10blb,T8 18WT10 BLB (BLACK) -ULTROVIOLET,,EXPORT,active,true,+L T8 18W/10BLB,Default Title,Default Title,,,22,13.5,shopify,0,deny,true,manual,legacy-import,0,0,0,0
l-t8-18w-11-ho,T8 18W/11 D/L (HIGH OUTPUT) -OSRAM,,EXPORT,draft,false,+L T8 18W/11 HO,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t8-18w-20,T8 18W/20 COOLWHITE -OSRAM,,EXPORT,active,true,+L T8 18W/20,Default Title,Default Title,,,4,0,shopify,24,deny,true,manual,legacy-import,4,0,0,24
l-t8-18w-29,T8 18W/29 W/W - PHILIP,,EXPORT,active,true,+L T8 18W/29,Default Title,Default Title,,,4,0,shopify,0,deny,true,manual,legacy-import,4,0,0,0
l-t8-18w-30,T8 18W/30 WARMWHITE -OSRAM,,EXPORT,active,true,+L T8 18W/30,Default Title,Default Title,,,4,0,shopify,25,deny,true,manual,legacy-import,-16,0,0,25
l-t8-18w-31-ho,T8 18W/31 WARMWHITE (HIGH OUTPUT) - OSRAM,,EXPORT,draft,false,+L T8 18W/31 HO,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t8-18w-54,T8 18W/54 D/L - PHILIP,,EXPORT,active,true,+L T8 18W/54,Default Title,Default Title,,,4,0,shopify,0,deny,true,manual,legacy-import,1,0,0,0
l-t8-18w-60red,T8 18W/60 RED,,EXPORT,draft,false,+L T8 18W/60RED,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t8-18w-827,18W/827 WARMWHITE (HIGH OUTPUT)-OSRAM,,,draft,false,+L T8 18W/827,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-zero-retail",5,0,0,0
l-t8-18w-83-ho,T8 18W/83 WARMWHITE (HIGH OUTPUT) - PHILIP,,YING WAH,active,true,+L T8 18W/83 HO,Default Title,Default Title,,,5,0,shopify,10,deny,true,manual,legacy-import,3,0,0,10
l-t8-18w-840ho,T8 18W/840 COOLWHITE (HIGH OUTPUT) - PHILIPS,,YING WAH,active,true,+L T8 18W/840HO,Default Title,Default Title,,,5,1.7,shopify,0,deny,true,manual,legacy-import,3,0,0,0
l-t8-18w-86-ho,T8 18W/86 DAYLIGHT (HIGH OUTPUT) - PHILIP,,YING WAH,active,true,+L T8 18W/86 HO,Default Title,Default Title,,,5,0,shopify,9,deny,true,manual,legacy-import,15,0,0,9
l-t8-18w-865-ph,T818W/865 Daylight Philips,,,draft,false,+L T8 18W/865 PH,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
l-t8-30-827,T8 30W/827 (HIGH OUTPUT) WW - PHILIPS,,,draft,false,+L T8 30/827,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-zero-retail",2,0,0,0
l-t8-30w-bl-sa,T8 30W BLUE - SAFER,,NME,active,true,+L T8 30W BL-SA,Default Title,Default Title,,,12,4.2,shopify,0,deny,true,manual,legacy-import,0,0,0,0
