Handle,Title,Description,Vendor,Status,Published on online store,SKU,Option1 Name,Option1 Value,Option2 Value,Option3 Value,Price,Cost per item,Inventory tracker,Inventory quantity,Continue selling when out of stock,Requires shipping,Fulfillment service,Tags,RLF inventory (product.metafields.custom.rlf_inventory),IMM inventory (product.metafields.custom.imm_inventory),Wholesale price (product.metafields.custom.wholesale_price),Legacy WHSE (product.metafields.custom.legacy_whse)
xh-wlvirgo-ms-gy,XH WLVIRGO-MS GREY (1XPAR30) DOWN LIGHTER,,CHANGI,active,true,XH WLVIRGO-MS GY,Default Title,Default Title,,,115,0,shopify,7,deny,true,manual,legacy-import,0,0,0,7
xh-wlvirgo-sq-ms-gy,XH WL VIRGO-SQ/MS GREY SQUARE (E27),,CHANGI,draft,false,XH WLVIRGO-SQ/MS GY,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
xh-wlvirgo-sq-mt-gy,XH WL VIRGO-SQ/MT GREY SQUARE (2XE27),,CHANGI,active,true,XH WLVIRGO-SQ/MT GY,Default Title,Default Title,,,168,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
xh-wlvirgo-sq-ss-bk,XH WL VIRGO-SQ/SS BLACK (E27),,CHANGI,draft,false,XH WLVIRGO-SQ/SS BK,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
xh-wlvirgo-ss-bk,XH WLVIRGO-SS BLACK (PAR20) DOWNLIGHTER,,CHANGI,draft,false,XH WLVIRGO-SS BK,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
xh-wlvirgo-ss-gy,XH WLVIRGO-SS GREY (PAR20) DOWN LIGHTER,,CHANGI,active,true,XH WLVIRGO-SS GY,Default Title,Default Title,,,115,0,shopify,1,deny,true,manual,legacy-import,1,0,0,1
xh-wlvirgo-ss-wh,XH WLVIRGO-SS WHITE (PAR20) DOWN LIGHTER,,CHANGI,active,true,XH WLVIRGO-SS WH,Default Title,Default Title,,,115,0,shopify,3,deny,true,manual,legacy-import,0,0,0,3
xh-wlvirgo-st-bk,XH WLVIRGO-ST BK (2XPAR20) UP/DOWN LIGHTER,,CHANGI,active,true,XH WLVIRGO-ST BK,Default Title,Default Title,,,150,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
xh-wlvirgo-st-gy,XH WLVIRGO-ST GREY (2XPAR20) UP/DOWN LIGHTER,,CHANGI,active,true,XH WLVIRGO-ST GY,Default Title,Default Title,,,150,0,shopify,1,deny,true,manual,legacy-import,1,0,0,1
xj-cl111-336-dc,XJ CL111/3X36W DC C/W D/L TUBE,,INTERWELL,active,true,XJ CL111/336 DC,Default Title,Default Title,,,185,65,shopify,0,deny,true,manual,legacy-import,0,0,0,0
xj-cl111-336-sv,XJ CL111/3X36W SV C/W D/L TUBE,,INTERWELL,active,true,XJ CL111/336 SV,Default Title,Default Title,,,185,65,shopify,0,deny,true,manual,legacy-import,0,0,0,0
xj-clrd-40w-dc,XJ CLRD/40W DC,,INTERWELL,active,true,XJ CLRD/40W DC,Default Title,Default Title,,,165,55,shopify,0,deny,true,manual,legacy-import,0,0,0,0
xj-clrd-40w-sv,XJ CLRD/40W SV,,INTERWELL,active,true,XJ CLRD/40W SV,Default Title,Default Title,,,165,55,shopify,0,deny,true,manual,legacy-import,0,0,0,0
xj-clsq-40w-dc,XJ CLSQ/40W DC,,INTERWELL,active,true,XJ CLSQ/40W DC,Default Title,Default Title,,,165,55,shopify,0,deny,true,manual,legacy-import,0,0,0,0
xj-clsq-40w-sv,XJ CLSQ/40W SV,,INTERWELL,draft,false,XJ CLSQ/40W SV,Default Title,Default Title,,,165,55,shopify,0,deny,true,manual,"legacy-import, legacy-negative-whse",0,0,0,-1
xk-cl21d-05,XK ESCL21D 05 (SQ CL) C/W 2D 21W D/L N BALLAST,,AKIRA,active,true,XK CL21D 05,Default Title,Default Title,,,32,0,shopify,0,deny,true,manual,legacy-import,3,0,0,0
xk-cl21d-06,XK ESCL21D 06 (RD CL) C/W 2D 21W D/L N BALLAST,,AKIRA,active,true,XK CL21D 06,Default Title,Default Title,,,42,0,shopify,0,deny,true,manual,legacy-import,1,0,0,0
xk-cl236l02s,XK CL ESCL236L02S C/W BAL. N D/L TUBE,,AKIRA,active,true,XK CL236L02S,Default Title,Default Title,,,75,19.8,shopify,0,deny,true,manual,legacy-import,1,0,0,0
xk-cl255l02s,XK CL ESCL255L02S C/W BAL. N 2X55W D/L TUBE,,AKIRA,active,true,XK CL255L02S,Default Title,Default Title,,,95,31.2,shopify,0,deny,true,manual,legacy-import,5,0,0,0
xk-cl38d-05,XK CL ESCL38D 05 (SQ CL) C/W 2D 38W D/L LAMP & GEAR,,AKIRA,draft,false,XK CL38D 05,Default Title,Default Title,,,42,12,shopify,0,deny,true,manual,"legacy-import, legacy-negative-whse",0,0,0,-1
xk-cl38d-06,XK CL ESCL38D 06 (RD CL) C/W 2D 38W D/L LAMP & GEAR,,AKIRA,active,true,XK CL38D 06,Default Title,Default Title,,,42,12,shopify,0,deny,true,manual,legacy-import,1,0,0,0
xk-cl38d-02sb,XK CL ESCL38D-02SB (SQ OP) C/W 2D 38W D/L LAMP & GEAR,,AKIRA,active,true,XK CL38D-02SB,Default Title,Default Title,,,58,18,shopify,3,deny,true,manual,legacy-import,5,0,0,3
xk-cl55d-02sb,XK CL ESCL55D-02SB (SQ OP) C/W 2D 55W D/L LAMP & GEAR,,AKIRA,active,true,XK CL55D-02SB,Default Title,Default Title,,,68,22.5,shopify,6,deny,true,manual,legacy-import,3,0,0,6
xk-dl5007a-we-5,"XK DL AKP-5007A/WE (5"" PLC 1X18W)",,AKIRA,draft,false,XK DL5007A/WE/5,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
xk-dlsq213-hdc-w,XK DL SQ213 HDC/W (2XPLC),,AKIRA,draft,false,XK DLSQ213 HDC/W,Default Title,Default Title,,,0,0,shopify,9,deny,true,manual,"legacy-import, legacy-zero-retail",0,0,0,9
xk-onda-sil,XK ONDA SIL-E27,,,active,true,XK ONDA SIL,Default Title,Default Title,,,25,7.5,shopify,0,deny,true,manual,legacy-import,0,0,0,0
xk-tl3227a1b,XK TL3227A1B,,AKIRA,active,true,XK TL3227A1B,Default Title,Default Title,,,60,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
xk-tl3227a1w,XK TL3227A1W,,AKIRA,active,true,XK TL3227A1W,Default Title,Default Title,,,60,0,shopify,1,deny,true,manual,legacy-import,0,0,0,1
xk-tl3227a2b,XK TL3227A2B,,AKIRA,active,true,XK TL3227A2B,Default Title,Default Title,,,70,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
xk-tl3227a2w,XK TL3227A2W,,AKIRA,active,true,XK TL3227A2W,Default Title,Default Title,,,70,0,shopify,1,deny,true,manual,legacy-import,0,0,0,1
xk-tl3227a3b,XK TL3227A3B,,AKIRA,draft,false,XK TL3227A3B,Default Title,Default Title,,,70,0,shopify,0,deny,true,manual,"legacy-import, legacy-negative-whse",1,0,0,-1
xk-tl3227a3w,XK TL3227A3W,,AKIRA,active,true,XK TL3227A3W,Default Title,Default Title,,,70,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
xk-wlal-t5-120,XK WL AKIRA AL-T5-120 LED T5 STENTING LAMP 22W,,AKIRA,active,true,XK WLAL-T5-120,Default Title,Default Title,,,29,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
xk-wlal-t5-30,XK WL AKIRA AL-T5-30 LED T5 STENTING LAMP 7W,,AKIRA,active,true,XK WLAL-T5-30,Default Title,Default Title,,,23,0,shopify,0,deny,true,manual,legacy-import,15,0,0,0
xk-wlal-t5-60,XK WL AKIRA AL-T5-60 LED T5 STENTING LAMP 11W,,AKIRA,active,true,XK WLAL-T5-60,Default Title,Default Title,,,25,0,shopify,0,deny,true,manual,legacy-import,1,0,0,0
xk-wlal-t5-90,XK WL AKIRA AL-T5-90 LED T5 STENTING LAMP 15W,,AKIRA,active,true,XK WLAL-T5-90,Default Title,Default Title,,,27,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
xk-wlt513w-d-l,XK WL FLFT T5 13WCD C/W T5 13W DAYLIGHT(CABINET LIGHT),,,active,true,XK WLT513W D/L,Default Title,Default Title,,,39,0,shopify,0,deny,true,manual,legacy-import,2,0,0,0
xk-wlt513w-w-w,XK WL FLFT T5 13WCD C/W T5 13W W/W (CABINET LIGHT),,,active,true,XK WLT513W W/W,Default Title,Default Title,,,39,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
xl-sl0252204-gd,XL SL0252204 GD SPOTLIGHT C/W EXTENSION ROD,,,active,true,XL SL0252204 GD,Default Title,Default Title,,,135,62,shopify,0,deny,true,manual,legacy-import,0,0,0,0
xm-10-smoke,XM 10 (250MM)SMOKE GLOBE,,LITE,draft,false,XM 10 SMOKE,Default Title,Default Title,,,0,17,shopify,0,deny,true,manual,"legacy-import, legacy-zero-retail",0,0,0,0
xm-10-opal,"XM 10"" (250MM) OPAL GLOBE",,LITE,draft,false,XM 10 OPAL,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
xm-12-clear,XM Ø280MM GLOBE CLEAR (E27) - PL USE X1 PL1212 CL,,LITE,active,true,XM 12 CLEAR,Default Title,Default Title,,,75,29,shopify,0,deny,true,manual,legacy-import,0,0,0,0
xm-12-opal,"XM 12"" (300MM) OPAL GLOBE -PL USE X1 PL1212 OP",,LITE,draft,false,XM 12 OPAL,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
xm-16-pri-150w,XM 16 ACRYLIC REFLECTOR MH150W HIGH BAY C/W GEAR,,LITE,active,true,XM 16 /PRI 150W,Default Title,Default Title,,,195,95,shopify,0,deny,true,manual,legacy-import,0,0,0,0
xm-16-clear,"XM 16"" (400MM) NIBA PT GDL6004 CLEAR GLOBE 1 x E27",,LITE,draft,false,XM 16 CLEAR,Default Title,Default Title,,,0,47,shopify,0,deny,true,manual,"legacy-import, legacy-zero-retail",0,0,0,0
