Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
acc-clip-13mm,13MM PLASTIC MOUNTING CLIP FOR ROPELIGHT,Default Title,Default Title,,,,,+ACC CLIP 13MM,,,123 William Street,,,,,,,4
acc-clip-t5-u,T5 U-CLIP FOR CIRCULAR TUBES,Default Title,Default Title,,,,,+ACC CLIP T5 (U),,,123 William Street,,,,,,,196
acc-dmx-512-deco-der,A109 ACC DMX 512 Decoder,Default Title,Default Title,,,,,+ACC DMX 512 DECO DER,,,123 William Street,,,,,,,0
acc-ec-8mm-1,A109 ACC EC-8MM-1 End Cap for 8MM COB/SMD strip,Default Title,Default Title,,,,,+ACC EC-8MM-1,,,123 William Street,,,,,,,0
acc-elcb-ce240b,HAGER CE240B 40A 100MA 2P ELCB,Default Title,Default Title,,,,,+ACC ELCB CE240B,,,123 William Street,,,,,,,0
acc-elcb240b,HAGER CD240B 40A 30MA 2P ELCB,Default Title,Default Title,,,,,+ACC ELCB240B,,,123 William Street,,,,,,,0
acc-fl-bk-switch,FLOOR LAMP SWITCH BK (ON-OFF),Default Title,Default Title,,,,,+ACC FL/BK SWITCH,,,123 William Street,,,,,,,17
acc-fl-wh-switch,FLOOR LAMP SWITCH WHITE (ON-OFF),Default Title,Default Title,,,,,+ACC FL/WH SWITCH,,,123 William Street,,,,,,,7
acc-glass-bits,GLASS CRYSTAL BITS,Default Title,Default Title,,,,,+ACC GLASS BITS,,,123 William Street,,,,,,,160
acc-holder-3xe27,3XE27 BLACK LAMPHOLDER -LF,Default Title,Default Title,,,,,+ACC HOLDER 3XE27,,,123 William Street,,,,,,,297
acc-holder-3xe2-7wh,3XE27 WHITE LAMPHOLDER -LF,Default Title,Default Title,,,,,+ACC HOLDER 3XE2 7WH,,,123 William Street,,,,,,,0
acc-holder-4xe27,4XE27 BLACK LAMPHOLDER -LF,Default Title,Default Title,,,,,+ACC HOLDER 4XE27,,,123 William Street,,,,,,,12
acc-holder-4xe2-7wh,4 X E27 WHITE LAMPHOLDER -LF,Default Title,Default Title,,,,,+ACC HOLDER 4XE2 7WH,,,123 William Street,,,,,,,73
acc-holder-5xe27,5XE27 BLACK LAMPHOLDER -LF,Default Title,Default Title,,,,,+ACC HOLDER 5XE27,,,123 William Street,,,,,,,2
acc-holder-5xe2-7wh,5 X E27 WHITE LAMPHOLDER -LF,Default Title,Default Title,,,,,+ACC HOLDER 5XE2 7WH,,,123 William Street,,,,,,,55
acc-ip-sc-2pin-8m-m-b,A109 ACC IP-SC-2PIN-8MM-B Waterproof puncture: single end,Default Title,Default Title,,,,,+ACC IP-SC-2PIN-8M M-B,,,123 William Street,,,,,,,0
acc-ip-sc-2pin-8m-m-c,A109 ACC IP-SC-2PIN-8MM-C Waterproof puncture: middle,Default Title,Default Title,,,,,+ACC IP-SC-2PIN-8M M-C,,,123 William Street,,,,,,,0
