Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare-at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text
dt-20055,DT 20055,<p>DT 20055</p><table><tbody><tr><th>source row</th><td>9445</td></tr><tr><th>code</th><td>DT 20055</td></tr><tr><th>description</th><td>DT 20055</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>0</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>45</td></tr><tr><th>retail price</th><td>128</td></tr><tr><th>w. sale price</th><td>59</td></tr></tbody></table>,,DT,"legacy-import, legacy-type-dt",true,Title,Default Title,,,,,DT 20055,0,shopify,0,deny,manual,128,,true,true,,,
dt-20061-oro,DT 20061 ORO,<p>DT 20061 ORO</p><table><tbody><tr><th>source row</th><td>9446</td></tr><tr><th>code</th><td>DT 20061 ORO</td></tr><tr><th>description</th><td>DT 20061 ORO</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>0</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>44</td></tr><tr><th>retail price</th><td>78</td></tr><tr><th>w. sale price</th><td>58</td></tr></tbody></table>,,DT,"legacy-import, legacy-type-dt",true,Title,Default Title,,,,,DT 20061 ORO,0,shopify,0,deny,manual,78,,true,true,,,
dt-20070,DT 20070,<p>DT 20070</p><table><tbody><tr><th>source row</th><td>9447</td></tr><tr><th>code</th><td>DT 20070</td></tr><tr><th>description</th><td>DT 20070</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>0</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>43</td></tr><tr><th>retail price</th><td>125</td></tr><tr><th>w. sale price</th><td>56</td></tr></tbody></table>,,DT,"legacy-import, legacy-type-dt",true,Title,Default Title,,,,,DT 20070,0,shopify,0,deny,manual,125,,true,true,,,
dt-510185,DT 510185,<p>DT 510185</p><table><tbody><tr><th>source row</th><td>9448</td></tr><tr><th>code</th><td>DT 510185</td></tr><tr><th>description</th><td>DT 510185</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>0</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>93</td></tr><tr><th>retail price</th><td>165</td></tr><tr><th>w. sale price</th><td>121</td></tr></tbody></table>,,DT,"legacy-import, legacy-type-dt",true,Title,Default Title,,,,,DT 510185,0,shopify,0,deny,manual,165,,true,true,,,
dt-510360,DT 510360,<p>DT 510360</p><table><tbody><tr><th>source row</th><td>9449</td></tr><tr><th>code</th><td>DT 510360</td></tr><tr><th>description</th><td>DT 510360</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>0</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>38</td></tr><tr><th>retail price</th><td>75</td></tr><tr><th>w. sale price</th><td>49</td></tr></tbody></table>,,DT,"legacy-import, legacy-type-dt",true,Title,Default Title,,,,,DT 510360,0,shopify,0,deny,manual,75,,true,true,,,
dt-510385,DT 510385,<p>DT 510385</p><table><tbody><tr><th>source row</th><td>9450</td></tr><tr><th>code</th><td>DT 510385</td></tr><tr><th>description</th><td>DT 510385</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>0</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>52</td></tr><tr><th>retail price</th><td>98</td></tr><tr><th>w. sale price</th><td>67</td></tr></tbody></table>,,DT,"legacy-import, legacy-type-dt",true,Title,Default Title,,,,,DT 510385,0,shopify,0,deny,manual,98,,true,true,,,
dt-510390,DT 510390,<p>DT 510390</p><table><tbody><tr><th>source row</th><td>9451</td></tr><tr><th>code</th><td>DT 510390</td></tr><tr><th>description</th><td>DT 510390</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>0</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>82</td></tr><tr><th>retail price</th><td>118</td></tr><tr><th>w. sale price</th><td>98</td></tr></tbody></table>,,DT,"legacy-import, legacy-type-dt",true,Title,Default Title,,,,,DT 510390,0,shopify,0,deny,manual,118,,true,true,,,
dt-510392,DT 510392,<p>DT 510392</p><table><tbody><tr><th>source row</th><td>9452</td></tr><tr><th>code</th><td>DT 510392</td></tr><tr><th>description</th><td>DT 510392</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>0</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>65</td></tr><tr><th>retail price</th><td>188</td></tr><tr><th>w. sale price</th><td>85</td></tr></tbody></table>,,DT,"legacy-import, legacy-type-dt",true,Title,Default Title,,,,,DT 510392,0,shopify,0,deny,manual,188,,true,true,,,
dt-520326,DT 520326,<p>DT 520326</p><table><tbody><tr><th>source row</th><td>9453</td></tr><tr><th>code</th><td>DT 520326</td></tr><tr><th>description</th><td>DT 520326</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>0</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>182</td></tr><tr><th>retail price</th><td>521</td></tr><tr><th>w. sale price</th><td>237</td></tr></tbody></table>,,DT,"legacy-import, legacy-type-dt",true,Title,Default Title,,,,,DT 520326,0,shopify,0,deny,manual,521,,true,true,,,
dt-520329-gd,DT 520329 GOLD,<p>DT 520329 GOLD</p><table><tbody><tr><th>source row</th><td>9454</td></tr><tr><th>code</th><td>DT 520329 GD</td></tr><tr><th>description</th><td>DT 520329 GOLD</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>1</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>130</td></tr><tr><th>retail price</th><td>329</td></tr><tr><th>w. sale price</th><td>246</td></tr></tbody></table>,,DT,"legacy-import, legacy-type-dt",true,Title,Default Title,,,,,DT 520329 GD,0,shopify,1,deny,manual,329,,true,true,,,
