,,CRESTAR,130,5,0,0,0,0
+B FL40,BALLAST 32/36/40W,ALBERT,-124,-3,0,0,5,0
+B FL40 VOS,BALLAST 32/36/40W - VOSSLOH,ES TEAM,46,2,0,0,0,0
+B FL40LL HE,BALLAST 36W TL3 (LOW LOSS) - HELVAR,APTEC,0,0,0,0,6,0
+B FL58,BALLAST 58W (5FT) - VOS,,-4,0,0,7.5,0,0
+B FL58 ATCO,BALLAST 58W (5FT) - ATCO,LUMITRON,10,0,0,6,12,0
+B L18TL3,L18/TL3 LOW LOSS BALLAST -HELVAR,APTEC,35,0,0,4,0,0
+B L36TL3,L36/TL3 LOW LOSS BALLAST -HELVAR,APTEC,167,0,0,4,0,0
+B LCP120AD-1H12V,Euchips LCP120AD-1H12V DALI/0-10V 120W 1CH 12VDC,IILLUMX,7,0,0,0,0,0
+B LCP75AD-1H12V,Euchips LCP75AD-1H12V DALI/0-10V 75W 1CH 12VDC DImming,IILLUMX,1,0,0,0,0,0
+B LED ADAPTOR/12 0W-A48,120W LED Adaptor for Striplight 2835/120 c/w 3pins & Striplight,,0,5,0,0,45,0
+B LED ADAPTOR/20W,20W LED Adaptor for Rope Light c/w 2pins Connector & Rope Light,LTBLIGHT,1,0,0,0,85,0
+B LED ADAPTOR/50W,50W LED Adaptor for Rope Light c/w 2pins Connector & Rope Light,LTBLIGHT,0,0,0,0,129,0
+B LED ADAPTOR/60 W-A48,60W LED Adaptor for Striplight 2835/120 c/w 3pins & Striplight,,0,10,0,0,25,0
+B LED CON/5M,LED CONTROLLER FOR RGB STRIPLIGHT(UP TO 5M) - A48,,-1,10,0,9,29,0
+B LED CON/REM/10M,LED CONTROLLER/REMOTE CONTROL FOR RGB,,-1,4,0,13.5,55,0
+B LED CONTROLLER,LED CONTROLLER FOR RBG STRIPLIGHT (UP TO 30M)-A48,,0,1,0,33,155,0
+B LED DR 10-27W RD,10-27*1W LED DRIVER (ROUND),S-CH-A48,12,11,0,0,0,0
+B LED DR 10-27W SQ,10-27*1W LED DRIVER (SQUARE),S-CH-A48,125,11,0,0,0,0
+B LED DR 12V100W,"100W, CONSTANT VOLTAGE 12V POWER SUPPLY (NES-100-",COYOTE,20,0,0,0,88,0
+B LED DR 12V100W IP MW,Meanwell 12V 100W Power Supply IP67 (LPV-100-12),SM SYS,0,0,0,0,0,0
+B LED DR 12V100W MW,Meanwell 12V 100W Power Supply (LRS-100-12),SM SYS,0,10,0,0,55,0
+B LED DR 12V120W IP,"120W, Constant Voltage 12V Power Supply, IP65.",LTBLIGHT,1,0,0,100,0,0
+B LED DR 12V150W MW,Meanwell 12V 150W Power Supply (LRS-150-12),SM SYS,0,0,0,0,0,0
+B LED DR 12V200W MW,Meanwell 12V 200W Power Supply (LRS-200-12),SM SYS,0,0,0,0,0,0
